window,step,refit_every,start_date,end_date,duration,cumulative_return,annual_return,annual_volatility,sharpe,max_drawdown
360,12,96,2015-10-16,2025-10-30,3667,6.7403248167808085,0.22659143185447395,0.16663123877242586,1.3598376482331613,-0.35149167404348747
360,12,48,2015-10-16,2025-10-30,3667,6.492858620630899,0.22262017017199742,0.16655118076247888,1.3366472044979336,-0.3514916740434876
360,6,120,2015-02-11,2025-10-30,3914,7.794367882649592,0.225247406195223,0.16949930892937076,1.328898669959074,-0.3498053451918266
360,12,120,2015-10-16,2025-10-30,3667,6.369217166708501,0.220591577661579,0.16699285006550355,1.3209642064019578,-0.35149167404348747
480,12,120,2015-10-23,2025-10-30,3660,6.024021449119209,0.21523028158444202,0.16691471570275654,1.2894625897918213,-0.3446709905175225
480,12,96,2015-10-23,2025-10-30,3660,6.019984424410993,0.21516041870013702,0.1680860132722193,1.280061407320546,-0.3514916740434879
360,12,12,2015-10-16,2025-10-30,3667,5.9963247592452005,0.214282385313193,0.16746990802762066,1.2795276944790082,-0.35149167404348736
360,12,24,2015-10-16,2025-10-30,3667,5.9963247592452005,0.214282385313193,0.16746990802762066,1.2795276944790082,-0.35149167404348736
480,12,12,2015-10-23,2025-10-30,3660,5.906927244715747,0.21318906768211265,0.16741089851464017,1.273447962908276,-0.3514916740434877
480,12,48,2015-10-23,2025-10-30,3660,5.9047481909233515,0.2131507875680796,0.16739258499750795,1.2733585993146164,-0.3514916740434877
360,6,96,2015-02-11,2025-10-30,3914,7.06554983035406,0.21538339126035866,0.17007409454464362,1.2664091602958472,-0.3498053451918264
360,6,24,2015-02-11,2025-10-30,3914,7.002155527518855,0.2144876111457199,0.1699628682871554,1.2619674715264226,-0.340101633308444
480,12,24,2015-10-23,2025-10-30,3660,5.718392447181907,0.20983609369242662,0.16730224891415144,1.2542335506804858,-0.3514916740434876
360,6,12,2015-02-11,2025-10-30,3914,6.717637971042617,0.2103863444411771,0.16981393982254575,1.2389226977539605,-0.34010163330844423
360,6,48,2015-02-11,2025-10-30,3914,6.717440114441823,0.21038344499669215,0.16981901867520147,1.2388685710113239,-0.3401016333084441
72,12,24,2015-09-29,2025-10-30,3684,5.586263933891258,0.2058223184243817,0.16914427923447364,1.2168446923295804,-0.3498053451918265
240,12,24,2015-10-08,2025-10-30,3675,5.474917160358982,0.20440028739608596,0.16917896922911366,1.2081896959619915,-0.3514916740434878
240,12,12,2015-10-08,2025-10-30,3675,5.406071573264621,0.20311911022210283,0.16904936271693863,1.2015372726498332,-0.3514916740434878
480,6,120,2015-02-18,2025-10-30,3907,6.045261220998689,0.2004463795772442,0.16794114486916026,1.1935513464160803,-0.3264279069269648
72,12,48,2015-09-29,2025-10-30,3684,5.339662548393805,0.20126209361157565,0.16865835941658003,1.1933122930151692,-0.3498053451918266
72,12,12,2015-09-29,2025-10-30,3684,5.26804107446274,0.19990770378144695,0.16935698754769454,1.1803924164932886,-0.3498053451918264
240,12,48,2015-10-08,2025-10-30,3675,5.1550935922629275,0.1983411039389682,0.1693975076102787,1.1708619963599352,-0.35149167404348736
72,12,96,2015-09-29,2025-10-30,3684,5.118978722654248,0.1970435915762132,0.16885132947239734,1.1669649992801776,-0.3498053451918265
36,12,24,2015-09-25,2025-10-30,3688,5.066829465825396,0.19585816575749493,0.17074249571723293,1.147096772451166,-0.33057712484994395
36,12,12,2015-09-25,2025-10-30,3688,4.870518616561112,0.1919619442143694,0.17052008323536774,1.1257439040151394,-0.3305771248499437
480,6,96,2015-02-18,2025-10-30,3907,5.313636215342319,0.18819278166777442,0.16827183615228425,1.1183855003368592,-0.32642790692696455
72,12,120,2015-09-29,2025-10-30,3684,4.652798491535613,0.1876619153275929,0.16852069178013032,1.1135838177808826,-0.34980534519182627
240,12,96,2015-10-08,2025-10-30,3675,4.642448546003055,0.1880101873132567,0.1690978822396518,1.111842353216474,-0.3514916740434879
120,12,12,2015-10-01,2025-10-30,3682,4.690665742008936,0.18861132563078087,0.16986485002201515,1.110361123012419,-0.34980534519182616
36,12,120,2015-09-25,2025-10-30,3688,4.639152471758011,0.1872163713508821,0.16932821420891192,1.1056419169453964,-0.33057712484994417
120,12,24,2015-10-01,2025-10-30,3682,4.678774875854298,0.18836429513570274,0.17107424503030477,1.1010675224802842,-0.3498053451918265
240,6,96,2015-02-04,2025-10-30,3921,5.192348315009245,0.18536417312610842,0.16938292709857686,1.0943498043237312,-0.34980534519182627
240,6,12,2015-02-04,2025-10-30,3921,5.158186212459752,0.18475274571838596,0.16913075938681882,1.0923663228865312,-0.34980534519182627
240,12,120,2015-10-08,2025-10-30,3675,4.508830014737944,0.1851787736450876,0.16986310858223644,1.0901647520211037,-0.3514916740434876
480,6,48,2015-02-18,2025-10-30,3907,5.057953904725931,0.18360525761535484,0.16859969443868802,1.0890011291338588,-0.326427906926965
240,6,120,2015-02-04,2025-10-30,3921,5.061699964182409,0.18300909128355958,0.16820432273498606,1.0880165759586282,-0.34980534519182616
240,6,24,2015-02-04,2025-10-30,3921,4.99649898036756,0.18181650389314252,0.1690334337607118,1.075624507223386,-0.3498053451918264
120,12,48,2015-10-01,2025-10-30,3682,4.297235796398466,0.18017963724488428,0.16913488074709013,1.0653014709266833,-0.34980534519182627
120,6,96,2015-01-28,2025-10-30,3928,4.810661982045503,0.17799454212600785,0.16737484550436793,1.0634485820712096,-0.3404208932792693
480,6,12,2015-02-18,2025-10-30,3907,4.821883112219562,0.17921102956202906,0.16861745273456324,1.062826099289628,-0.3264279069269649
120,6,48,2015-01-28,2025-10-30,3928,4.829524967497374,0.17835001128862893,0.16852563829628867,1.0582960141356523,-0.34042089327926917
480,6,24,2015-02-18,2025-10-30,3907,4.696059538475739,0.1768025320437463,0.16846515605323212,1.049490210235995,-0.32642790692696433
120,6,120,2015-01-28,2025-10-30,3928,4.767059500913767,0.17716883988030685,0.16887709677073406,1.0490992755567652,-0.3404208932792696
240,6,48,2015-02-04,2025-10-30,3921,4.78163421599306,0.17780143141223248,0.16976338218575526,1.0473485455048368,-0.34980534519182627
36,12,48,2015-09-25,2025-10-30,3688,4.215385582963777,0.17805034217083238,0.17023609679506582,1.0459023998016914,-0.33057712484994395
36,12,96,2015-09-25,2025-10-30,3688,4.242168586325119,0.1786491688335352,0.17101451244937788,1.0446433245623952,-0.33057712484994417
120,12,96,2015-10-01,2025-10-30,3682,3.978395350615952,0.17292200532930457,0.17159664795594587,1.0077236786915498,-0.3498053451918264
120,12,120,2015-10-01,2025-10-30,3682,3.8770670180239923,0.17052771960015223,0.16942379796203222,1.0065157413031633,-0.3498053451918266
120,6,24,2015-01-28,2025-10-30,3928,4.341409385134329,0.1687965687701738,0.1679508147837565,1.0050357242238226,-0.3404208932792695
120,6,12,2015-01-28,2025-10-30,3928,4.19205165668977,0.16571484471096154,0.1677677646036882,0.987763323320328,-0.34042089327926917
72,6,48,2015-01-26,2025-10-30,3930,4.262102876485013,0.16703690332045307,0.1693958217815236,0.9860745180355575,-0.33057712484994395
72,6,96,2015-01-26,2025-10-30,3930,4.105507600682458,0.16376176967907985,0.16905627058546716,0.9686820199685486,-0.33057712484994384
72,6,12,2015-01-26,2025-10-30,3930,4.035844021206968,0.16227540661624107,0.16939462480595677,0.9579725850340833,-0.33057712484994384
72,6,24,2015-01-26,2025-10-30,3930,4.02013095467124,0.16193757166853118,0.16935343121564025,0.956210751126345,-0.33057712484994384
72,6,120,2015-01-26,2025-10-30,3930,3.9034522433608068,0.15939851433273944,0.16928276331376435,0.9416110135046382,-0.33057712484994406
36,6,120,2015-01-22,2025-10-30,3934,3.8114905924380604,0.15723364344293,0.16933941216351783,0.9285118061653702,-0.3305771248499443
36,6,24,2015-01-22,2025-10-30,3934,3.663446020415485,0.1538767085186179,0.17009313059070394,0.9046615109277534,-0.33057712484994395
36,24,12,2017-02-28,2025-10-30,3166,2.6943251989024533,0.16290662467276817,0.18014363890467672,0.9043151657382166,-0.33057712484994384
36,6,48,2015-01-22,2025-10-30,3934,3.619463236740801,0.15286076158807416,0.16952756018165646,0.9016867901848934,-0.33057712484994417
36,24,120,2017-02-28,2025-10-30,3166,2.658308407690196,0.16159157992721118,0.18006220274777837,0.8974208771263347,-0.33057712484994384
36,6,12,2015-01-22,2025-10-30,3934,3.5986316552313697,0.15237651289503762,0.170007758302428,0.8962915246725033,-0.33057712484994395
36,6,96,2015-01-22,2025-10-30,3934,3.4996213221852415,0.15004737171060567,0.1693565932519617,0.8859848254468099,-0.33057712484994417
36,24,96,2017-02-28,2025-10-30,3166,2.5302729572489087,0.1568221212807721,0.18042303527451592,0.8691912373725743,-0.33057712484994395
36,24,48,2017-02-28,2025-10-30,3166,2.512829952603122,0.1561605505054564,0.18042112692679488,0.8655336166302625,-0.33057712484994395
36,24,24,2017-02-28,2025-10-30,3166,2.39055259645916,0.15143953681967948,0.18044072409281936,0.839275820805166,-0.33057712484994395
360,24,120,2017-03-20,2025-10-30,3146,2.184199014829445,0.1441074493784391,0.1811708932425642,0.7954227458905225,-0.35657259020395105
360,24,12,2017-03-20,2025-10-30,3146,2.171285406903095,0.14356714928766756,0.1817944859384679,0.7897222434802607,-0.35657259020395093
360,24,24,2017-03-20,2025-10-30,3146,2.1143707845163506,0.1411624486646268,0.181690093362017,0.7769408119757031,-0.35657259020395105
360,24,48,2017-03-20,2025-10-30,3146,2.099214868582494,0.14051554983484316,0.18183111128242865,0.7727805700785042,-0.35657259020395127
360,24,96,2017-03-20,2025-10-30,3146,2.023248789478386,0.13723034828613656,0.18158878534229447,0.7557203933461951,-0.35657259020395093
120,24,24,2017-03-06,2025-10-30,3160,1.99059544390364,0.1351319342028623,0.18068193987671893,0.7478995094643335,-0.3935989493817108
120,24,12,2017-03-06,2025-10-30,3160,2.000185365837569,0.1355524975840634,0.18221459897445008,0.7439167791548382,-0.37454090215110325
120,24,48,2017-03-06,2025-10-30,3160,1.9105695814336512,0.1315751547216193,0.18107875012370858,0.7266184167481295,-0.3935989493817106
240,24,48,2017-03-13,2025-10-30,3153,1.8611644513906076,0.12965201290481865,0.1791773316601824,0.7235960693438014,-0.3498766141717564
120,24,96,2017-03-06,2025-10-30,3160,1.8636004260697963,0.12944711299399203,0.1805008039038618,0.7171553267039079,-0.4072665320957599
240,24,12,2017-03-13,2025-10-30,3153,1.826459182212556,0.12805437571668166,0.1787758262041522,0.7162846254753178,-0.3498766141717564
240,24,24,2017-03-13,2025-10-30,3153,1.8175528544550055,0.12764158257459113,0.1785699195245867,0.7147989029418619,-0.3498766141717564
240,24,120,2017-03-13,2025-10-30,3153,1.7735527233097974,0.12558516723003033,0.17724511044096594,0.7085395299062892,-0.34987661417175653
120,24,120,2017-03-06,2025-10-30,3160,1.806957910479888,0.1268393515186157,0.17968467975656868,0.7058996442571163,-0.4076932994750777
240,24,96,2017-03-13,2025-10-30,3153,1.7410330849778233,0.12404669364752685,0.17743909480198775,0.6990944909066186,-0.3498766141717563
480,24,96,2017-03-28,2025-10-30,3138,1.691627241779874,0.12233368437629322,0.17909620890076738,0.6830612726374078,-0.3264279069269648
480,24,24,2017-03-28,2025-10-30,3138,1.6534990092357376,0.12046888605867534,0.1791188042692715,0.6725641484161149,-0.32642790692696444
480,24,48,2017-03-28,2025-10-30,3138,1.6390383580980519,0.11975543967344948,0.1794853242205511,0.6672157748468298,-0.32642790692696466
480,24,12,2017-03-28,2025-10-30,3138,1.6273316500786574,0.11917533062493768,0.1790262753735598,0.6656862540220091,-0.32642790692696466
72,24,24,2017-03-02,2025-10-30,3164,1.5610723859132705,0.11483878026083083,0.17977984788827223,0.6387744878513841,-0.3943233323143507
72,24,96,2017-03-02,2025-10-30,3164,1.5336896459430935,0.1134543423230101,0.17918104535633878,0.6331827236378856,-0.4092626816738437
72,24,120,2017-03-02,2025-10-30,3164,1.5069885988962572,0.11209156804405418,0.17882947449502054,0.6268070090826965,-0.3732705666726449
480,48,48,2020-01-31,2025-10-30,2099,0.9226622956515638,0.12066774701333105,0.19418502831736803,0.62140602732831,-0.3404208932792694
72,24,48,2017-03-02,2025-10-30,3164,1.4696281682115644,0.11016305051764008,0.1793170665568283,0.6143478288650664,-0.39432333231435046
480,24,120,2017-03-28,2025-10-30,3138,1.4028472647874626,0.10758473848007233,0.17885213170743455,0.6015289695068265,-0.33472873230545797
36,48,120,2020-01-06,2025-10-30,2124,0.9056078276844153,0.11738411373350677,0.1960021256846824,0.5988920442748054,-0.33057712484994395
36,48,96,2020-01-06,2025-10-30,2124,0.8913450515704038,0.1159400642637971,0.19631242208356792,0.5905895461594517,-0.33057712484994395
72,24,12,2017-03-02,2025-10-30,3164,1.3210996837798303,0.10223160685875343,0.18187502901133398,0.5620980923795901,-0.39432333231435057
36,48,24,2020-01-06,2025-10-30,2124,0.8218686326329303,0.10877417047973581,0.19725874541529026,0.5514288872249125,-0.33057712484994395
36,48,48,2020-01-06,2025-10-30,2124,0.8218686326329303,0.10877417047973581,0.19725874541529026,0.5514288872249125,-0.33057712484994395
120,48,12,2020-01-09,2025-10-30,2121,0.8091021650803383,0.10766496296647388,0.19821219186767627,0.5431803258517495,-0.34980534519182627
120,48,24,2020-01-09,2025-10-30,2121,0.7967636926363304,0.10635823265587407,0.19820139963639188,0.5366169605814709,-0.34980534519182627
72,48,48,2020-01-07,2025-10-30,2123,0.8057642565642185,0.1071578897954577,0.20015425076897778,0.5353765377640747,-0.3498053451918266
36,48,12,2020-01-06,2025-10-30,2124,0.7916471265723846,0.1055862773336711,0.1980515397560877,0.5331252534754686,-0.33057712484994395
72,48,24,2020-01-07,2025-10-30,2123,0.7967934433763841,0.10620852905150402,0.1997372074925879,0.5317413334490788,-0.3498053451918266
72,48,12,2020-01-07,2025-10-30,2123,0.7898329369398573,0.10546920762828638,0.19971097331431595,0.5281092264384152,-0.3498053451918266
480,48,120,2020-01-31,2025-10-30,2099,0.7286013569481624,0.10007931511962731,0.1917540679597352,0.5219149517111789,-0.3404208932792694
480,48,24,2020-01-31,2025-10-30,2099,0.7029017368127914,0.09721137587828133,0.19535942711728366,0.49760268707135724,-0.3404208932792694
480,48,12,2020-01-31,2025-10-30,2099,0.7029017368127914,0.09721137587828133,0.19535942711728366,0.49760268707135724,-0.3404208932792694
120,48,48,2020-01-09,2025-10-30,2121,0.7227725869019421,0.09836246685617711,0.19816230607155916,0.4963732447716725,-0.34980534519182627
360,48,120,2020-01-24,2025-10-30,2106,0.6530789119197193,0.09121863435532185,0.1960332031614122,0.4653223682735681,-0.34980534519182627
120,48,96,2020-01-09,2025-10-30,2121,0.6617573736609363,0.09155221856274731,0.19675338103017342,0.4653145886662409,-0.34980534519182627
72,48,96,2020-01-07,2025-10-30,2123,0.6344125778260776,0.08830668505102235,0.1996689210127789,0.4422655494060124,-0.3498053451918266
72,48,120,2020-01-07,2025-10-30,2123,0.621494330478698,0.08682015179557001,0.1996448310881458,0.43487302587482357,-0.3498053451918266
120,48,120,2020-01-09,2025-10-30,2121,0.6081799510224215,0.08539932802167316,0.1966018396984298,0.4343770544195738,-0.34980534519182627
240,48,48,2020-01-17,2025-10-30,2113,0.5984477677428373,0.08462530217241104,0.19750707165563683,0.4284672010122218,-0.3566431174142506
360,48,48,2020-01-24,2025-10-30,2106,0.5683448926298467,0.08129199720006919,0.19699997599946917,0.41264978225321325,-0.34980534519182627
240,48,24,2020-01-17,2025-10-30,2113,0.5642389541593948,0.08056897772415939,0.19769189746347363,0.40754820383594953,-0.3566431174142506
240,48,12,2020-01-17,2025-10-30,2113,0.5597143388570558,0.08002699114634582,0.1976950654393263,0.4048001449530693,-0.3566431174142506
480,48,96,2020-01-31,2025-10-30,2099,0.5121823340317628,0.07473232154985099,0.19495233170329412,0.3833363822679954,-0.3404208932792694
360,48,96,2020-01-24,2025-10-30,2106,0.5006646943976876,0.07303965249258271,0.19628170104817258,0.37211646374848206,-0.34980534519182627
360,48,24,2020-01-24,2025-10-30,2106,0.5069161328130745,0.07381464759108547,0.1988951182270314,0.3711234757749498,-0.34980534519182627
240,48,120,2020-01-17,2025-10-30,2113,0.4803930706221142,0.07030758054436181,0.19623455501057932,0.3582833845984537,-0.3566431174142506
360,48,12,2020-01-24,2025-10-30,2106,0.4780411074297495,0.07021250576124904,0.19898653064296984,0.35285054488048406,-0.34980534519182627
240,48,96,2020-01-17,2025-10-30,2113,0.4613509862206351,0.06791037648269294,0.19656546586662071,0.34548477873917816,-0.3566431174142506
